,0
1455,202771554
1456,321391715
1457,359664748
1458,458624108
1459,499387501
1460,431754352
1461,197004401
1462,6818929
1463,21105778
1464,586157176
1465,18615418
1466,101846143
1467,257821825
1468,338037890
1469,517737606
1470,664538247
1471,54529159
1472,646057097
1473,353242253
1474,711462031
1475,561515668
1476,43125908
1477,6425748
1478,170527895
1479,50728092
1480,457051293
1481,689573021
1482,569642143
1483,106433696
1484,219024545
1485,478416036
1486,243666085
1487,265292966
1488,254020779
1489,225578156
1490,432016561
1491,3935412
1492,252316854
1493,628493495
1494,450497723
1495,175115452
1496,497159358
1497,6425793
1498,331091138
1499,138939587
1500,215878855
1501,240520392
1502,132254921
1503,188222668
1504,68685005
1505,520359117
1506,43781326
1507,519310544
1508,74976470
1509,497421526
1510,81661144
1511,11668695
1512,193334492
1513,519310559
1514,18615519
1515,354815200
1516,11799778
1517,88607973
1518,210111728
1519,520752376
1520,498339068
1521,7998716
1522,295832833
1523,26479875
1524,17566979
1525,603065607
1526,287313161
1527,95554828
1528,10751244
1529,256773391
1530,149163283
1531,531893524
1532,286264598
1533,645926166
1534,267128088
1535,270535966
1536,294522146
1537,471600420
1538,325979429
1539,308808999
1540,341970219
1541,70257964
1542,30805292
1543,151260460
1544,256773424
1545,171969843
1546,6950198
1547,17173816
1548,596905278
1549,224791872
1550,93064513
1551,668208451
1552,711462214
1553,150736204
1554,685903180
1555,296095054
1556,155454801
1557,293735762
1558,184159571
1559,211422549
1560,443026777
1561,71306590
1562,30805344
1563,3673441
1564,345640289
1565,36048225
1566,25300325
1567,347213160
1568,96472430
1569,242486646
1570,172887417
1571,162401658
1572,591007100
1573,320343420
1574,395840896
1575,283774338
1576,525733251
1577,159387012
1578,172363141
1579,675941765
1580,119541139
1581,598085011
1582,7605656
1583,721292699
1584,619711900
1585,246156703
1586,227937699
1587,171314598
1588,174067113
1589,19795370
1590,208539057
1591,187698610
1592,261492149
1593,327814582
1594,278138300
1595,257822148
1596,199757259
1597,297405899
1598,42601932
1599,157289938
1600,335810004
1601,61083098
1602,269356509
1603,648547807
1604,539233760
1605,197660129
1606,288755170
1607,269487587
1608,407244259
1609,214961635
1610,237506018
1611,320605671
1612,201985511
1613,268832233
1614,271584750
1615,46271984
1616,352849394
1617,310250994
1618,20319735
1619,455478775
1620,258477561
1621,79433210
1622,276172281
1623,21106174
1624,22547967
1625,30281216
1626,103681537
1627,368709121
1628,402918917
1629,27659782
1630,665718280
1631,25300488
1632,205655562
1633,367005197
